Education,Marital_Status,MntMiniatures,MntPainting_Material,MntCard_Games,MntMagazines,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Complain,DepVar,_WARN_,IMP_MntBrandA__Material,IMP_MntScenario,Childhome,RANGE_Frq,RANGE_IMP_Income,RANGE_Mnt,RANGE_NumWebVisitsMonth,RANGE_Recency,RANGE_age,RANGE_average_purchase,RANGE_campaign_acceptance,RANGE_loyalty
Graduation,Divorced,0.2295081967,0.1967213115,0.2459016393,0,0.2307692308,0.4615384615,0.3076923077,0.2307692308,0,0,,0.5901639344,0.3278688525,1,0.1,0.1445329598,0.0159950784,0.2727272727,0.696969697,0.4727272727,0.0273286646,0.25,0.0434782609
Master,Divorced,0.5057034221,0.1254752852,0.2395437262,0.0456273764,0.1,0.3666666667,0.1666666667,0.4666666667,0,0,,0.1644486692,0.0836501901,1,0.6666666667,0.6584434912,0.3208243617,0.6363636364,0.101010101,0.6545454545,0.2462166707,0,0.4782608696
Master,Married,0.2880161128,0.1863041289,0.3856998993,0.0634441088,0.0555555556,0.3888888889,0.2777777778,0.3333333333,0,0,,0.0302114804,0.0765357503,0,0.2666666667,0.6893373019,0.3026760997,0.2727272727,0.9393939394,0.2727272727,0.3910641364,0,0.1304347826
Master,Single,0.5670391061,0.0502793296,0.2905027933,0.0251396648,0.2105263158,0.5263157895,0.2631578947,0.2105263158,0,0,,0.4525139665,0.0670391061,1,0.3,0.2461262365,0.1073515841,0.5454545455,0.595959596,0.5454545455,0.1292969392,0.25,0.8695652174
PhD,Divorced,0.4392523364,0.0224299065,0.4598130841,0.0299065421,0.0454545455,0.4090909091,0.1818181818,0.4090909091,0,0,,0.0205607477,0.0485981308,1,0.4,0.6102162304,0.1617963703,0.4545454545,0.8787878788,0.4363636364,0.1687594174,0,0
Basic,Together,0.3672670321,0.0833985904,0.442834769,0.0430696946,0.0357142857,0.3214285714,0.4285714286,0.25,0,1,,0.0931871574,0.0634299139,0,0.6,0.7860544515,0.7828360504,0.4545454545,0.303030303,0.7090909091,0.6508355924,0.75,0.1304347826
Graduation,Married,0.4594594595,0.0810810811,0.2972972973,0,0.25,0.4166666667,0.25,0.3333333333,0,0,,0.4054054054,0.1621621622,1,0.0666666667,0.3081327147,0.0086127345,0.0909090909,0.8080808081,0.5636363636,0.0157338458,0,0.4782608696
Graduation,Together,0.6413043478,0,0.3586956522,0,0.1428571429,0.5,0.2857142857,0.2142857143,0,1,,0.5108695652,0,1,0.1333333333,0.2582158802,0.025530606,0.2727272727,0.0202020202,0.3818181818,0.0408702515,0.25,0.0434782609
Basic,Together,0.3813559322,0.0236077482,0.5550847458,0.0181598063,0.04,0.4,0.32,0.28,0,0,,0.0423728814,0.0217917676,0,0.5,0.8192418804,0.5053829591,0.5454545455,0.7373737374,0.4181818182,0.4697093442,0,0
2n Cycle,Married,0.0613207547,0.4764150943,0.3537735849,0.0801886792,0.2666666667,0.5333333333,0.2,0.2666666667,0,1,,0.0990566038,0.0283018868,1,0.1666666667,0.2024599492,0.0624423254,0.4545454545,0.1919191919,0.4909090909,0.0953639202,0,0.8260869565
Graduation,Married,0.4644750795,0.0853658537,0.2195121951,0.0514316013,0.0333333333,0.2666666667,0.3666666667,0.3666666667,0,0,,0.0286320255,0.1792152704,0,0.6666666667,0.6453383524,0.5773608121,0.3636363636,0.4545454545,0.6,0.4465529666,0,0.6956521739
PhD,Single,0.2948717949,0.0256410256,0.6153846154,0.0384615385,0.0833333333,0.5,0.1666666667,0.3333333333,0,0,,0.1025641026,0.0256410256,1,0.0666666667,0.397548805,0.0212242387,0.1818181818,0.7373737374,0.2545454545,0.0403555129,0,0.4347826087
PhD,Divorced,0.5988023952,0.0119760479,0.3532934132,0.0239520958,0.2666666667,0.4666666667,0.2666666667,0.2666666667,0,0,,0.5928143713,0.0119760479,1,0.1666666667,0.4121509236,0.0486004306,0.2727272727,0.8686868687,0.4727272727,0.0737448955,0.25,0.347826087
Graduation,Together,0.1494490358,0.0785123967,0.7128099174,0.0241046832,0.0384615385,0.2692307692,0.5,0.2307692308,0,1,,0.0344352617,0.0351239669,0,0.5333333333,0.8372056377,0.4438634266,0.2727272727,0.3535353535,0.9454545455,0.3959607531,0,0.0434782609
2n Cycle,Married,0.4326923077,0.0576923077,0.2596153846,0.1153846154,0.0769230769,0.4615384615,0.1538461538,0.3846153846,0,0,,0.6057692308,0.1346153846,1,0.1,0.4952639412,0.0292217779,0.1818181818,0.4444444444,0.3636363636,0.0511650252,0,0.1304347826
Graduation,Married,0.0714285714,0.2053571429,0.3660714286,0,0.1538461538,0.5384615385,0.2307692308,0.2307692308,0,0,,0.3839285714,0.3571428571,1,0.1,0.3218331437,0.0316825592,0.3636363636,0.696969697,0.4909090909,0.055599697,0.25,0.6086956522
