Target,Variable,Importance,Worth,Analysis Variable,Label,plot
DepVar,campaign_acceptance,1,0.03882289747,1,Transformed campaign_acceptance,NaN
DepVar,NumCatalogPurchases,2,0.02812964495,1,NumCatalogPurchases,NaN
DepVar,Income,3,0.02663139141,1,Transformed: Imputed: Income,NaN
DepVar,Recency,4,0.02657676215,1,Transformed: Recency,NaN
DepVar,NumDealsPurchases,5,0.02522283723,1,NumDealsPurchases,NaN
DepVar,MntCard_Games,6,0.02441453658,1,MntCard_Games,NaN
DepVar,Mnt,7,0.02353695087,1,Transformed Mnt,NaN
DepVar,average_purchase,8,0.02243976835,1,Transformed average_purchase,NaN
DepVar,NumStorePurchases,9,0.01664142778,1,NumStorePurchases,NaN
DepVar,Frq,10,0.01122161892,1,Transformed Frq,NaN
DepVar,MntScenario,11,0.009260254701,1,Imputed: MntScenario,NaN
DepVar,NumWebPurchases,12,0.009155225368,1,NumWebPurchases,NaN
DepVar,MntMiniatures,13,0.008038067937,1,MntMiniatures,NaN
DepVar,Marital_Status,14,0.007257157759,1,Marital_Status,NaN
DepVar,Childhome,15,0.006934160447,1,Childhome,NaN
DepVar,NumWebVisitsMonth,16,0.006279887776,1,Transformed: NumWebVisitsMonth,NaN
DepVar,MntMagazines,17,0.005263318019,1,MntMagazines,NaN
DepVar,MntPainting_Material,18,0.005240252717,1,MntPainting_Material,NaN
DepVar,MntBrandA__Material,19,0.005179448467,1,Imputed: MntBrandA _Material,NaN
DepVar,age,20,0.004173521759,1,Transformed age,NaN
DepVar,loyalty,21,0.00303830583,1,Transformed loyalty,NaN
DepVar,Education,22,6.55E-04,1,Education,NaN
DepVar,Complain,23,2.23E-05,1,Complain,NaN
