Custid,Education,Marital_Status,Recency,MntMiniatures,MntPainting_Material,MntCard_Games,MntMagazines,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,DepVar,IMP_Income,_WARN_,IMP_MntBrandA__Material,IMP_MntScenario,campaign_acceptance,Childhome,Mnt,Frq,average_purchase,age,loyalty
140003120,Graduation,Divorced,69,0.2295081967,0.1967213115,0.2459016393,0,0.2307692308,0.4615384615,0.3076923077,0.2307692308,7,0,0,25510,,0.5901639344,0.3278688525,1,1,61,13,4.6923076923,45,24
140003123,Master,Divorced,10,0.5057034221,0.1254752852,0.2395437262,0.0456273764,0.1,0.3666666667,0.1666666667,0.4666666667,5,0,0,84214,,0.1644486692,0.0836501901,0,1,1052,30,35.066666667,55,34
140003144,Master,Married,93,0.2880161128,0.1863041289,0.3856998993,0.0634441088,0.0555555556,0.3888888889,0.2777777778,0.3333333333,1,0,0,87743,,0.0302114804,0.0765357503,0,0,993,18,55.166666667,34,26
140003183,Master,Single,59,0.5670391061,0.0502793296,0.2905027933,0.0251396648,0.2105263158,0.5263157895,0.2631578947,0.2105263158,8,0,0,37115,,0.4525139665,0.0670391061,1,1,358,19,18.842105263,49,43
140003225,PhD,Divorced,87,0.4392523364,0.0224299065,0.4598130841,0.0299065421,0.0454545455,0.4090909091,0.1818181818,0.4090909091,3,0,0,78705,,0.0205607477,0.0485981308,0,1,535,22,24.318181818,43,23
140003231,Basic,Together,30,0.3672670321,0.0833985904,0.442834769,0.0430696946,0.0357142857,0.3214285714,0.4285714286,0.25,2,0,1,98791,,0.0931871574,0.0634299139,3,0,2554,28,91.214285714,58,26
140003237,Graduation,Married,80,0.4594594595,0.0810810811,0.2972972973,0,0.25,0.4166666667,0.25,0.3333333333,5,0,0,44198,,0.4054054054,0.1621621622,0,1,37,12,3.0833333333,50,34
140003267,Graduation,Together,2,0.6413043478,0,0.3586956522,0,0.1428571429,0.5,0.2857142857,0.2142857143,6,0,1,38496,,0.5108695652,0,1,1,92,14,6.5714285714,40,24
140003270,Basic,Together,73,0.3813559322,0.0236077482,0.5550847458,0.0181598063,0.04,0.4,0.32,0.28,2,0,0,102582,,0.0423728814,0.0217917676,0,0,1652,25,66.08,42,23
140003300,2n Cycle,Married,19,0.0613207547,0.4764150943,0.3537735849,0.0801886792,0.2666666667,0.5333333333,0.2,0.2666666667,9,0,1,32127,,0.0990566038,0.0283018868,0,1,212,15,14.133333333,46,42
140003321,Graduation,Married,45,0.4644750795,0.0853658537,0.2195121951,0.0514316013,0.0333333333,0.2666666667,0.3666666667,0.3666666667,2,0,0,82717,,0.0286320255,0.1792152704,0,0,1886,30,62.866666667,52,39
140003333,PhD,Single,73,0.2948717949,0.0256410256,0.6153846154,0.0384615385,0.0833333333,0.5,0.1666666667,0.3333333333,6,0,0,54412,,0.1025641026,0.0256410256,0,1,78,12,6.5,33,33
140003339,PhD,Divorced,86,0.5988023952,0.0119760479,0.3532934132,0.0239520958,0.2666666667,0.4666666667,0.2666666667,0.2666666667,6,0,0,56080,,0.5928143713,0.0119760479,1,1,167,15,11.133333333,45,31
140003342,Graduation,Together,35,0.1494490358,0.0785123967,0.7128099174,0.0241046832,0.0384615385,0.2692307692,0.5,0.2307692308,1,0,1,104634,,0.0344352617,0.0351239669,0,0,1452,26,55.846153846,71,24
140003345,2n Cycle,Married,44,0.4326923077,0.0576923077,0.2596153846,0.1153846154,0.0769230769,0.4615384615,0.1538461538,0.3846153846,3,0,0,65574,,0.6057692308,0.1346153846,0,1,104,13,8,39,26
140003366,Graduation,Married,69,0.0714285714,0.2053571429,0.3660714286,0,0.1538461538,0.5384615385,0.2307692308,0.2307692308,8,0,0,45763,,0.3839285714,0.3571428571,1,1,112,13,8.6153846154,46,37
140003375,Basic,Single,90,0.1840744571,0.0237849018,0.6256463289,0.1664943123,0.3888888889,0.3888888889,0.1666666667,0.4444444444,9,0,1,53429,,0.2709410548,0,1,1,967,18,53.722222222,40,36
140003387,2n Cycle,Together,95,0.5443037975,0.0506329114,0.2658227848,0.0379746835,0.0833333333,0.4166666667,0.1666666667,0.4166666667,4,0,0,63146,,0.0775316456,0.1012658228,1,0,632,24,26.333333333,49,25
140003405,Graduation,Single,70,0.5333333333,0.0666666667,0.3333333333,0.0666666667,0.1666666667,0.5,0.1666666667,0.3333333333,6,0,0,52280,,0.2666666667,0,0,1,45,12,3.75,39,23
140003408,Master,Married,1,0.5849056604,0,0.3396226415,0,0.1666666667,0.5,0.25,0.25,7,0,1,36581,,0.3962264151,0.0754716981,0,1,53,12,4.4166666667,42,36
140003423,2n Cycle,Single,71,0.303030303,0.0114660115,0.4078624079,0.0909090909,0.1428571429,0.4761904762,0.2380952381,0.2857142857,3,0,0,85047,,0.0303030303,0.1867321867,0,1,1221,21,58.142857143,35,24
140003426,Graduation,Divorced,53,0.7962662338,0.0284090909,0.1404220779,0.0170454545,0.125,0.25,0.4583333333,0.2916666667,5,0,1,93149,,0.2069805195,0.0178571429,2,1,1232,24,51.333333333,44,31
140003438,Basic,Married,19,0.5258215962,0.0985915493,0.2112676056,0.0516431925,0.25,0.4375,0.1875,0.375,7,0,0,29800,,0.117370892,0.1126760563,0,1,213,16,13.3125,64,43
