CustID,newPremHealth,newPremLife,newPremMotor,newPremWork,newPremHousehold,_SEGMENT_,Distance,EM_SEGMENT
2,116.69,194.48,77.46,106.13,416.2,3,3.029094577,3
14,127.69,267.94,44.34,94.46,342.85,3,4.9145031052,3
45,208.26,224.71,111.8,44.23,0,3,4.4723043073,3
99,110.02,185.48,204.26,59.68,82.8,3,3.4562273221,3
109,97.24,213.04,79.68,16.56,912.95,3,4.4309283923,3
150,29.56,18.56,64.9,451.53,197.25,3,10.016959259,3
180,158.03,45.12,99.02,209.04,263.95,3,3.5666216995,3
187,82.57,75.68,33.23,212.15,1026.3,3,4.3896344332,3
192,76.46,22.45,106.02,225.6,587.9,3,4.2567863085,3
329,210.93,197.37,96.24,34.34,235.6,3,3.4821166966,3
340,183.7,223.71,11.67,104.91,245.05,3,3.9275298789,3
342,137.47,219.04,126.8,105.91,128.9,3,3.9346514848,3
371,96.13,231.71,121.91,106.02,276.15,3,4.1133237912,3
398,49.01,193.48,52.01,225.82,348.4,3,4.9736546129,3
402,201.37,13.78,96.13,195.37,416.2,3,3.4890248753,3
433,149.36,213.15,83.46,42.12,600.1,3,3.5986360863,3
469,118.91,242.49,59.01,77.35,506.75,3,4.2137499373,3
476,73.68,50.01,84.35,83.24,1363.6,3,4.455217542,3
481,98.13,71.68,30.34,249.16,683.45,3,4.547213152,3
495,152.14,124.58,84.35,212.04,34.45,3,4.0635818392,3
523,122.69,183.48,63.9,165.81,206.15,3,3.6419365101,3
535,89.24,228.71,19.56,115.02,771.8,3,4.2771589878,3
541,133.58,94.24,19.45,298.5,131.15,3,5.8822403752,3
559,50.9,199.37,276.72,11.67,136.7,3,4.39861425,3
575,163.81,60.79,116.02,208.26,255.6,3,3.437769174,3
583,83.57,201.15,75.68,90.46,730.7,3,3.4651702936,3
586,171.92,184.48,107.13,103.91,107.8,3,3.1726784753,3
647,220.93,198.37,48.23,14.56,489.55,3,3.61039693,3
660,72.68,252.27,46.23,0,1079.65,3,5.847321628,3
662,68.68,279.72,26.34,22.78,917.4,3,5.9507502215,3
690,65.79,112.02,54.9,256.05,406.2,3,4.7600197858,3
691,52.12,211.93,54.79,22.45,1083.55,3,4.9563661619,3
696,79.57,193.48,57.12,241.6,236.15,3,5.2548418764,3
764,56.01,17.67,32.45,240.49,1286.9,3,6.0574469485,3
765,100.24,213.15,48.23,200.26,170.6,3,4.8490110799,3
852,89.24,207.26,26.45,24.45,1143,3,4.9123971263,3
871,148.25,10.78,15.67,223.93,981.3,3,4.8169995489,3
894,75.46,261.16,61.68,109.13,323.4,3,4.9129598504,3
896,125.58,143.25,11.67,249.49,225.6,3,4.8077242072,3
930,112.91,127.58,21.45,208.15,634.55,3,3.6111726673,3
1025,171.92,71.57,55.12,253.49,269.5,3,4.5380200954,3
1070,49.23,46.01,14.56,121.69,1777.55,3,6.5066060488,3
1098,76.46,36.23,54.12,239.38,784.05,3,4.6646033341,3
1184,266.16,186.48,102.24,11.78,221.7,3,3.7314626069,3
1302,122.58,354.4,43.34,28.56,175.6,3,7.4392644828,3
1332,192.48,244.49,50.23,88.46,171.7,3,4.4669771544,3
1403,88.24,93.24,83.35,194.59,712.9,3,3.243870307,3
1437,58.01,176.7,129.58,218.15,177.8,3,4.6846756983,3
1461,248.38,4.89,67.57,239.6,137.8,3,4.9721416895,3
1491,112.91,297.5,29.56,50.9,545.65,3,5.7553922987,3
1493,129.58,86.46,78.35,204.37,506.2,3,3.1578126405,3
1506,206.26,205.26,57.79,78.35,97.25,3,3.7039576849,3
1559,141.25,300.5,38.45,20.78,539.55,3,5.960043182,3
1614,45.01,227.82,15.78,92.24,1065.75,3,4.9948797983,3
1641,123.69,88.24,37.45,195.48,820.7,3,3.3847720494,3
1653,32.34,111.02,42.34,237.38,859.05,3,4.7969736428,3
1694,104.13,241.49,37.12,57.9,636.8,3,4.3698946292,3
1705,146.14,53.01,139.25,210.26,261.15,3,3.5401291382,3
1746,106.91,65.68,28.34,494.1,1223,3,11.270709483,3
1756,65.9,144.36,83.35,238.6,348.95,3,4.5516465074,3
1769,151.25,201.37,203.37,21.78,226.15,3,3.7268244614,3
1775,63.68,320.06,13.67,153.25,156.7,3,6.8091241233,3
1776,68.79,54.12,37.45,417.08,123.35,3,8.997893042,3
1796,93.13,22.67,33.34,234.6,1051.3,3,5.1560643598,3
1850,158.92,6,54.79,208.93,667.35,3,3.9912230799,3
1860,104.02,78.57,30.34,91.35,1364.15,3,4.2985143185,3
1870,166.03,313.28,59.9,50.23,57.8,3,6.4083517967,3
1878,121.58,224.93,48.9,40.12,667.35,3,4.0440026771,3
1895,181.7,242.6,98.13,1.89,278.4,3,4.7850237516,3
1930,164.92,183.59,26.34,61.79,711.8,3,2.9453341783,3
1947,57.79,227.82,52.01,182.7,373.4,3,4.8162030272,3
1962,143.36,235.6,28.34,1.89,919.05,3,5.0200564111,3
2021,132.47,193.48,89.24,159.25,192.8,3,3.7169376592,3
2038,58.79,70.68,158.03,263.16,161.7,3,5.1278377989,3
2044,65.9,112.02,67.9,27.56,1673.1,3,6.0140747128,3
2142,119.8,39.34,168.92,197.37,387.85,3,3.2840006977,3
2144,128.47,69.68,20.56,195.37,864.6,3,3.5323904092,3
2161,91.35,212.15,90.13,0,931.85,3,4.6630731576,3
2219,52.01,124.58,17.56,272.94,490.1,3,5.3055395674,3
2292,143.25,183.59,45.12,132.58,352.85,3,2.9903982247,3
2324,47.23,15.78,39.12,82.35,1957.6,3,7.3954048142,3
2348,143.47,275.83,56.9,1.78,555.1,3,5.5147723916,3
2372,142.25,346.4,9.78,45.23,101.7,3,7.2479256321,3
2423,71.79,363.29,56.79,18.78,506.2,3,7.6582264333,3
2531,99.13,97.24,66.57,28.45,1513.05,3,5.1811209681,3
2546,141.36,8.89,105.02,94.24,1277.45,3,4.276541052,3
2581,125.58,193.26,13.56,47.9,849.05,3,3.6073362612,3
2594,146.14,234.49,182.59,0,0,3,5.0925004784,3
2604,52.9,222.82,43.34,131.58,771.8,3,4.3654884039,3
2619,162.92,112.91,102.24,205.15,63.9,3,3.7575335289,3
2637,178.59,40.34,67.68,218.15,461.75,3,3.6879420381,3
2692,83.46,190.48,18.56,117.69,834.05,3,3.5979756873,3
2768,97.24,0,46.01,255.38,1041.85,3,5.7447263925,3
2780,203.15,236.71,46.12,21.67,406.2,3,4.3896351936,3
2786,28.45,114.91,108.91,78.68,1300.25,3,4.3557377445,3
2811,87.24,37.23,66.9,352.51,285.6,3,7.2537718142,3
2822,182.59,27.56,61.68,263.27,284.5,3,5.0043260907,3
2850,188.59,83.35,93.35,217.82,79.45,3,3.9496647956,3
2883,49.23,82.46,53.01,212.26,985.2,3,4.4025989395,3
2887,111.91,193.48,91.35,10,1016.3,3,4.3415075644,3
2894,115.91,23.45,81.35,334.73,142.8,3,6.9546120104,3
2923,134.47,9.89,91.35,197.37,799.6,3,3.8792042138,3
2929,156.14,23.45,16.56,214.04,904.05,3,4.3069580743,3
2983,82.57,195.48,90.13,21.67,936.3,3,4.1391822788,3
2999,101.02,71.57,95.35,199.37,633.45,3,3.2136340906,3
3011,110.91,183.48,154.14,102.13,77.25,3,3.338797623,3
3050,119.91,76.68,25.34,352.62,181.7,3,7.1926322826,3
3074,112.02,200.26,78.68,125.8,451.2,3,3.2910998588,3
3083,119.69,0,160.92,19.56,1439.15,3,5.3817573308,3
3140,197.26,227.82,38.45,16.89,642.9,3,4.2756643419,3
3155,176.7,240.49,8.67,54.9,431.2,3,4.2527851061,3
3162,86.24,341.51,36.34,0,585.1,3,7.2452982407,3
3172,46.23,210.04,81.46,77.35,779.6,3,3.9451991386,3
3187,134.47,47.12,85.57,207.26,667.9,3,3.48509788,3
3206,61.01,219.93,26.45,213.93,298.4,3,5.2076280335,3
3222,181.7,190.48,71.57,31.34,629.55,3,3.1952332512,3
3268,176.59,215.04,108.91,28.67,309.5,3,3.8060505609,3
3272,177.81,208.15,88.24,24.45,411.75,3,3.625432263,3
3275,177.81,309.28,41.23,67.9,53.9,3,6.275103445,3
3308,132.58,272.05,30.56,74.46,381.75,3,5.0136869099,3
3314,98.13,18.56,47.12,293.72,752.35,3,5.965033429,3
3331,83.46,64.9,62.79,240.49,721.8,3,4.4108212234,3
3333,103.13,193.48,38.34,234.71,181.7,3,5.1333436454,3
3414,286.72,187.59,78.68,26.34,23.35,3,4.1048699272,3
3436,165.92,311.28,62.68,4.78,251.15,3,6.4228652222,3
3485,310.17,398.3,161.92,50.23,593.4,3,8.4773457078,3
3493,188.37,75.68,47.01,21.78,1310.8,3,4.2870082668,3
3506,98.02,201.26,164.81,0,570.1,3,3.9376465819,3
3517,229.82,5,73.57,197.37,536.2,3,3.7277594618,3
