CustID,newPremHealth,newPremLife,newPremMotor,newPremWork,newPremHousehold,_SEGMENT_,Distance,EM_SEGMENT
1,146.36,47.01,375.85,16.89,79.45,1,1.1026189935,1
3,124.58,86.35,206.15,99.02,224.5,3,1.5550145951,3
4,311.17,35.34,182.48,28.34,43.35,2,1.4085384472,2
5,182.59,18.78,338.62,41.45,47.8,2,1.1947049063,2
6,114.8,7,440.75,7.67,18.9,1,0.4027495491,1
7,317.95,14.67,156.92,26.34,295.6,2,1.6348321212,2
8,144.36,66.68,248.27,53.23,397.3,3,1.4735001271,3
9,210.04,8.78,344.51,9.89,18.35,2,1.4707011798,2
10,271.94,39.23,209.26,55.12,182.25,2,0.8265782175,2
11,227.71,18.67,296.5,10.89,116.7,2,0.9414678875,2
12,252.38,36.34,249.49,35.45,216.7,2,0.3713200828,2
13,257.05,43.12,206.04,15.78,340.05,2,1.0827351329,2
15,72.79,10.89,504.43,16.89,0,1,0.7903010761,1
16,247.49,0,318.06,19.67,93.9,2,1.2702338054,2
17,168.92,125.58,119.8,37.23,647.35,3,1.8123108208,3
18,86.35,3.89,446.64,27.56,107.8,1,0.5517941403,1
19,121.8,14.78,313.17,72.57,373.4,2,2.0728365992,2
20,125.69,24.45,402.41,30.56,9.45,1,0.6841781778,1
21,221.93,3.89,329.84,33.34,65,2,1.1819864679,2
22,100.13,24.67,407.52,30.34,111.7,1,0.5693439558,1
23,192.48,64.79,209.04,54.9,308.95,2,1.2199341686,2
24,248.38,48.01,222.04,33.56,329.5,2,0.8486325788,2
25,135.58,15.67,420.3,4.78,128.35,1,0.5300288679,1
26,154.14,17.56,383.74,15.78,103.9,1,0.7575885905,1
27,228.82,0,330.84,22.78,162.8,2,1.1949753726,2
28,112.91,17.78,449.75,9.78,58.9,1,0.2087495095,1
29,258.05,0,301.28,0,18.9,2,1.6539435563,2
30,54.9,7,524.21,0,25,1,1.0904947657,1
31,92.24,3.89,483.09,0,0,1,0.7263249564,1
32,146.25,46.12,320.95,9.67,335.05,2,1.6113926004,2
33,89.24,4.78,473.09,7.89,19.45,1,0.5585149896,1
34,179.7,22.56,373.96,10.89,19.45,1,1.1367751303,1
35,131.58,40.23,320.84,72.68,123.35,2,1.7104932978,2
36,125.8,111.8,241.49,65.79,190.6,3,1.947663656,3
37,145.25,26.56,320.95,84.35,0,2,1.9625636636,2
38,68.57,3,495.87,9.78,68.9,1,0.767622945,1
39,357.18,53.01,104.02,40.23,142.8,2,2.1183473556,2
40,207.04,17.67,334.84,5.78,63.35,2,1.298233316,2
41,135.47,146.36,52.01,148.03,455.65,3,2.3815225892,3
42,130.47,108.02,265.05,25.34,270.6,3,2.3012229208,3
43,168.92,3,323.84,25.56,383.4,2,1.6486831178,2
44,284.61,52.01,159.14,23.34,249.5,2,1.2107633621,2
46,180.59,106.13,139.58,75.79,540.1,3,0.6163380341,3
47,143.25,59.79,269.94,69.9,300.6,3,1.6555015431,3
48,209.04,72.68,254.38,22.78,265.6,2,1.133863703,2
49,92.24,1.89,468.09,14.89,0,1,0.5889974583,1
50,166.92,16.78,396.74,3.89,18.9,1,0.941261915,1
51,105.02,4.78,435.75,9.89,102.25,1,0.3182551656,1
52,29.56,5,557.44,0,20,1,1.4899770934,1
53,212.04,12.78,360.4,10.89,0,2,1.5141150511,2
54,295.61,44.12,177.59,30.45,236.7,2,1.1299415113,2
55,227.6,12.89,305.17,2.78,157.25,2,1.1655510141,2
56,17.56,0,559.66,10.89,44.45,1,1.585999578,1
57,36.45,6,569.55,10,30,1,1.426771848,1
58,155.25,69.68,207.93,62.68,452.3,3,1.0154185509,3
59,168.92,72.68,286.61,16.78,260.05,2,1.4302329896,2
60,84.35,52.9,341.73,51.12,249.5,1,1.7899532267,1
61,217.82,30.34,278.83,5.78,246.15,2,0.9202679655,2
62,165.81,36.34,304.17,15.78,249.5,2,1.1289831539,2
63,89.24,3.89,464.2,8.78,0,1,0.5869562395,1
64,86.46,23.45,364.18,48.12,343.95,1,1.6666188471,1
65,104.91,17.78,452.53,0,0,1,0.5509623584,1
66,261.27,6.89,276.83,0,175.6,2,1.3327466281,2
67,165.81,16.56,366.07,7.89,78.35,1,0.9664105212,1
68,202.26,32.34,152.03,97.35,530.65,3,1.5453672162,3
69,211.15,25.56,330.73,15.78,186.7,2,0.8934449425,2
70,151.03,20.56,384.63,17.89,0,1,0.8129563525,1
71,252.38,65.68,183.48,79.68,108.9,2,1.5290060354,2
72,286.61,70.79,150.03,33.23,236.7,2,1.4535659804,2
73,242.6,56.9,213.15,59.9,217.25,2,0.9000088171,2
74,223.71,51.12,246.49,20.78,264.5,2,0.7014523355,2
75,140.47,12.89,436.75,0.89,65,1,0.5736130266,1
76,217.82,22.67,289.5,29.67,211.7,2,0.5397669656,2
77,190.37,43.12,183.48,73.68,471.75,3,1.2990698428,3
78,180.59,51.9,290.61,50.01,99.45,2,0.963123978,2
79,141.47,6.89,429.86,0,0,1,0.7302250963,1
80,150.25,48.12,342.73,30.23,83.35,1,1.3347425914,1
81,136.58,39.34,355.51,21.67,304.5,1,1.458551849,1
82,163.81,29.56,368.07,17.78,0,1,1.0653465489,1
83,104.02,0.89,463.31,5.78,0,1,0.6029889199,1
84,209.93,30.56,291.39,5.67,132.25,2,0.944565234,2
85,244.49,22.67,238.49,64.01,221.7,2,0.8564652705,2
86,114.91,7,399.63,8.67,344.5,1,1.317097048,1
87,166.81,7.89,326.06,5.78,307.85,2,1.6098977527,2
88,17.67,0,581.33,0,55,1,1.7219729916,1
89,291.5,65.68,193.26,12.67,0,2,1.6242148773,2
90,315.95,12.78,216.93,16.78,48.35,2,1.5859318339,2
91,214.04,38.23,282.61,19.45,163.35,2,0.5547075783,2
92,221.93,31.34,263.94,29.56,196.15,2,0.2759128732,2
93,159.92,32.45,324.84,41.12,83.35,2,1.1750740215,2
94,136.47,11.67,393.63,20.56,192.8,1,0.7622777683,1
95,263.05,31.45,230.82,25.34,126.7,2,0.6449018741,2
96,200.15,60.79,296.5,8.67,70,2,1.2191754876,2
97,45.01,0,520.1,0,0,1,1.2411738273,1
98,224.82,26.56,169.81,118.91,244.5,2,2.2707424781,2
100,104.13,1.89,427.08,37.34,142.8,1,0.7539356534,1
101,133.47,23.67,424.97,6.89,69.45,1,0.4757808946,1
102,210.15,31.45,62.68,156.03,648.45,3,2.5555738396,3
103,188.37,6.89,190.59,118.58,317.85,3,2.4705041682,3
104,219.82,67.68,234.49,28.45,48.35,2,1.0701879068,2
105,170.92,37.23,349.4,2.78,73.9,1,1.2707811666,1
106,408.41,19.56,89.24,40.34,82.25,2,2.7941009611,2
107,218.82,13.78,297.61,14.67,240.6,2,0.9559460483,2
108,117.91,12.67,292.61,146.14,108.35,2,3.3156062009,2
110,189.37,22.67,368.29,0,158.35,1,1.3463249926,1
111,99.13,1,482.09,0,0,1,0.7358416966,1
112,108.91,35.23,330.95,99.35,72.8,1,2.4185246703,1
113,55.9,3.89,518.32,10.89,4.45,1,1.0358077939,1
