CustID,CustMonVal,ClaimsRate,IMP_Children,IMP_EducDeg,IMP_GeoLivArea,IMP_MonthSal,age,policy_time,reversals,_SEGMENT_,Distance,EM_SEGMENT
1,380.97,0.39,1,2 - High School,1,2177,34,31,0,5,0.8492163228,5
2,-131.13,1.12,1,2 - High School,4,677,21,35,0,3,1.3469866414,3
3,504.67,0.28,0,1 - Basic,3,2277,46,25,0,4,0.1956658964,4
4,-16.99,0.99,1,3 - BSc/MSc,4,1099,35,26,0,3,0.7699203961,3
5,35.23,0.9,1,3 - BSc/MSc,4,1763,43,30,0,3,0.198815495,3
6,-24.33,1,1,2 - High School,4,2566,60,30,0,3,1.0224746077,3
7,-66.01,1.05,0,2 - High School,4,4103,73,37,0,2,1.0803173077,2
8,-144.91,1.13,1,2 - High School,4,1743,42,28,0,3,0.7256535464,3
9,356.53,0.36,1,3 - BSc/MSc,1,1862,38,35,0,5,0.5612293773,5
10,-119.35,1.12,0,3 - BSc/MSc,1,3842,68,40,0,2,1.18919286,2
11,290.17,0.53,0,3 - BSc/MSc,4,3995,71,26,0,1,0.9534342776,1
12,405.74,0.46,1,3 - BSc/MSc,3,2834,58,31,0,5,1.1142228572,5
13,2.34,0.97,0,3 - BSc/MSc,1,3757,67,35,0,2,0.6705123474,2
14,-75.12,1.06,1,1 - Basic,3,1043,16,33,0,3,0.8196678622,3
15,-89,1.12,1,2 - High School,1,1981,41,33,1,3,0.7671311346,3
16,290.06,0.53,1,3 - BSc/MSc,4,974,37,28,1,3,1.2493900668,3
17,100.58,0.89,1,2 - High School,1,2437,27,25,0,1,0.9805001181,1
18,78.91,0.85,1,3 - BSc/MSc,4,2728,46,35,0,2,0.6218155031,2
19,230.38,0.71,1,1 - Basic,3,1414,34,35,0,3,1.1475239754,3
20,352.96,0.36,1,4 - PhD,1,2751,54,28,0,4,0.9694855218,4
21,373.73,0.39,1,4 - PhD,4,1704,30,30,0,5,1.0588428274,5
22,111.37,0.8,1,2 - High School,3,2501.5,58,39,0,2,0.8917507112,2
23,-89.79,1.08,1,2 - High School,1,1495,30,40,0,3,1.6059200798,3
24,290.05,0.64,1,2 - High School,4,2870,55,18,0,1,1.2748049821,1
25,108.13,0.81,0,3 - BSc/MSc,4,3201,64,28,0,1,0.6059429087,1
26,376.3,0.41,0,4 - PhD,2,3776,72,42,0,2,1.4323944901,2
27,430.86,0.38,0,4 - PhD,3,4281,79,38,1,2,1.6312353529,2
28,-7.22,0.97,0,4 - PhD,1,3619,74,37,0,2,0.5740947113,2
29,264.17,0.5,0,3 - BSc/MSc,4,3639,64,21,2,1,0.7947323243,1
30,2,0.96,0,3 - BSc/MSc,3,2660,44,36,1,2,0.7688137276,2
31,427.76,0.19,1,2 - High School,4,2148,41,28,2,4,0.6207367567,4
32,240.16,0.69,0,2 - High School,4,3490,63,32,0,2,0.8672891379,2
33,-2.44,0.96,1,3 - BSc/MSc,4,2126,46,27,0,3,0.7082616335,3
34,-5.55,0.97,1,2 - High School,1,1601,37,29,0,3,0.1630714753,3
35,336.07,0.48,0,3 - BSc/MSc,3,3662,71,37,0,2,0.969059263,2
36,53.8,0.89,0,2 - High School,3,2420,50,26,0,3,1.041729389,3
37,7.24,0.94,1,2 - High School,4,2401,44,34,1,3,1.0530273949,3
38,-31.78,1.01,0,2 - High School,1,3343,61,40,0,2,0.7765936097,2
39,-14.22,0.98,0,2 - High School,3,3985,75,31,0,2,1.1880304632,2
40,-1.55,0.96,0,3 - BSc/MSc,1,3858,78,36,0,2,0.7272838881,2
41,121.36,0.84,1,2 - High School,4,1177,21,22,0,3,1.3114538766,3
42,402.63,0.47,1,3 - BSc/MSc,1,3256,61,28,0,1,1.2628237212,1
43,710.8,0.19,1,2 - High School,4,2116,48,22,0,4,0.9613154607,4
44,-77.01,1.07,1,2 - High School,2,1353,34,22,0,3,1.2648807716,3
45,-128.68,1.19,1,3 - BSc/MSc,1,1065,26,31,1,3,0.8056590196,3
46,624.34,0.38,1,3 - BSc/MSc,3,1937,32,25,0,4,0.626841492,4
47,-94.9,1.08,1,3 - BSc/MSc,4,1219,30,40,0,3,1.6501248683,3
48,279.28,0.63,0,2 - High School,3,4233,78,39,0,2,1.2323357619,2
49,-132.88,1.2,1,3 - BSc/MSc,3,2381,42,31,1,3,1.0323118608,3
50,-21.11,0.99,1,2 - High School,1,2660,38,30,0,3,1.1148560007,3
51,420.64,0.32,1,3 - BSc/MSc,4,1569,37,33,0,5,0.717729574,5
53,-104.21,1.14,1,3 - BSc/MSc,3,1960,32,30,1,3,0.6273707666,3
54,-11.33,0.98,1,2 - High School,1,1148,36,33,0,3,0.6640394362,3
55,264.5,0.59,0,3 - BSc/MSc,3,3441,70,23,0,1,0.6069296087,1
56,-15.22,0.98,1,3 - BSc/MSc,2,2885,50,21,1,1,0.8787857327,1
57,540.55,0.13,1,3 - BSc/MSc,4,2234,51,21,0,4,0.5346531033,4
58,294.94,0.66,0,2 - High School,4,3538,67,24,0,1,0.7119188955,1
59,448.98,0.41,1,2 - High School,2,2920,60,38,0,5,0.9314171993,5
60,120.48,0.81,1,2 - High School,3,2195,32,19,0,1,1.4514999609,1
61,226.93,0.68,1,3 - BSc/MSc,4,4109,73,33,0,2,1.0849988219,2
62,224.5,0.68,1,2 - High School,1,1823,38,23,0,4,1.0750227468,4
63,-67.32,1.08,1,3 - BSc/MSc,3,3762,59,35,1,2,0.8704932339,2
64,314.51,0.61,1,2 - High School,4,3259,49,29,0,1,1.0671621364,1
65,-124.32,1.19,0,3 - BSc/MSc,3,2294,43,34,2,3,1.1223659704,3
66,132.27,0.78,0,3 - BSc/MSc,1,3760,75,18,1,1,1.0156824294,1
67,-25,1,1,3 - BSc/MSc,3,2544,48,32,0,3,1.0540706021,3
68,-90.01,1.06,1,2 - High School,1,1866,32,27,0,3,0.6760773843,3
69,476.65,0.33,1,2 - High School,4,1399,39,33,0,5,0.8128927571,5
70,316.98,0.36,1,3 - BSc/MSc,4,2119,32,27,1,4,0.7737920594,4
71,83.9,0.84,0,2 - High School,2,3382,64,22,0,1,0.3606143036,1
72,195.82,0.72,1,3 - BSc/MSc,4,1159,27,31,0,3,0.8255620724,3
73,-25,1,1,3 - BSc/MSc,4,3206,65,26,0,1,0.6474966016,1
74,272.61,0.63,1,2 - High School,1,2336,60,23,0,4,0.8470984405,4
75,-25,1,1,2 - High School,1,1440,36,31,0,3,0.2912117727,3
76,234.83,0.66,1,3 - BSc/MSc,4,2934,60,20,0,1,0.9142155511,1
77,747.03,0.2,0,3 - BSc/MSc,4,4196,67,20,0,4,2.3954724393,4
78,74.45,0.85,1,2 - High School,4,3284,54,32,0,2,0.6836382924,2
79,-50.31,1.04,1,4 - PhD,3,3091,65,38,2,2,0.6995459694,2
80,352.96,0.42,0,3 - BSc/MSc,4,3901,68,38,0,2,1.1638013298,2
81,14.34,0.95,1,1 - Basic,4,2318,55,36,0,2,1.0581918172,2
82,274.19,0.46,1,2 - High School,3,1431,34,30,1,3,1.0022039041,3
83,308.31,0.35,1,2 - High School,2,3234,54,24,1,1,0.765107356,1
84,423.53,0.33,1,3 - BSc/MSc,1,1792,31,21,0,4,0.6502468981,4
85,-47.67,1.03,1,2 - High School,3,2656,57,19,0,1,1.2656706712,1
86,317.83,0.61,0,3 - BSc/MSc,3,2479,48,40,0,5,0.9941575337,5
87,-19.22,0.99,1,3 - BSc/MSc,4,1631,28,22,0,3,1.1949283463,3
88,-46,1.03,1,3 - BSc/MSc,2,2423,46,19,2,1,1.4158756562,1
89,-139.11,1.21,1,3 - BSc/MSc,3,1779,33,21,1,3,1.4890731219,3
90,-54.56,1.05,0,3 - BSc/MSc,4,3860,73,27,0,1,0.9269806697,1
91,402.18,0.4,1,3 - BSc/MSc,3,1416,32,25,0,4,0.836623275,4
92,238.94,0.64,0,1 - Basic,3,3903,77,23,0,1,0.729648552,1
93,-66.12,1.06,1,3 - BSc/MSc,1,2976,63,29,0,1,1.1044391384,1
94,400.86,0.44,1,3 - BSc/MSc,4,1986,37,34,0,5,0.4425952091,5
95,174.37,0.71,1,4 - PhD,2,1270,32,24,0,3,1.1101415775,3
96,-25,1,1,3 - BSc/MSc,4,2668,30,40,0,2,0.98532091,2
97,-91,1.12,1,3 - BSc/MSc,4,2831,52,24,3,1,0.9958496481,1
98,120.47,0.81,0,2 - High School,4,3924,78,20,0,1,0.8383701516,1
99,179.26,0.68,1,1 - Basic,1,3870,66,28,0,1,0.7906918818,1
100,14.23,0.94,1,2 - High School,1,2805,49,32,0,2,0.9111941538,2
101,-55.56,1.05,1,2 - High School,4,2744,56,39,0,2,0.9370430293,2
102,654.9,0.39,1,1 - Basic,3,2694,60,35,0,5,0.9286640266,5
103,-25,1,1,2 - High School,4,2071,36,35,0,3,0.950462088,3
104,257.84,0.53,0,3 - BSc/MSc,2,3194,64,41,0,2,0.9099160471,2
105,46.12,0.89,1,2 - High School,1,2342,37,20,0,1,1.2751821415,1
106,-2.65,0.97,1,3 - BSc/MSc,4,2019,28,30,0,3,0.4600067198,3
107,201.82,0.71,0,3 - BSc/MSc,3,3480,68,37,0,2,0.4198296032,2
108,133.81,0.77,1,2 - High School,3,3673,58,27,0,1,0.5142655521,1
109,71.24,0.93,1,1 - Basic,4,764,21,25,0,3,1.1203823923,3
110,317.29,0.54,1,2 - High School,3,2126,40,36,1,5,0.6576640281,5
111,385.66,0.25,1,3 - BSc/MSc,4,2039,50,26,2,4,0.4840255267,4
112,343.52,0.43,0,3 - BSc/MSc,3,3507,66,25,0,1,0.9011283313,1
114,231.49,0.66,1,3 - BSc/MSc,3,2257,45,23,0,4,0.9921534236,4
115,344.3,0.49,1,3 - BSc/MSc,4,2059,43,24,1,4,0.5437909709,4
116,330.51,0.48,1,2 - High School,3,1834,41,28,0,4,0.896061968,4
117,498.54,0.14,1,3 - BSc/MSc,1,2684,50,22,0,4,0.6190931509,4
118,283.95,0.61,1,2 - High School,4,3128,62,37,0,2,0.7078693335,2
119,525.88,0.41,1,2 - High School,3,2181,56,38,0,5,0.3768785175,5
120,305.05,0.62,0,3 - BSc/MSc,3,3650,68,30,0,1,1.1735248269,1
121,422.18,0.56,1,2 - High School,1,1444,32,27,0,4,0.8869070042,4
122,290.17,0.57,1,3 - BSc/MSc,4,2402,60,19,0,4,1.1015034108,4
123,643.24,0.18,1,1 - Basic,1,1518,27,19,0,4,1.2060566396,4
124,68.35,0.89,1,1 - Basic,1,2957,57,25,0,1,0.4960048914,1
125,319.31,0.35,1,3 - BSc/MSc,1,2614,47,36,2,5,0.850356649,5
126,180.04,0.64,1,2 - High School,1,1412,26,25,0,3,0.9727289426,3
127,-21,0.99,1,2 - High School,4,1853,49,39,0,3,1.4297877154,3
128,-19.11,1,0,2 - High School,3,3481,64,38,0,2,0.5908708787,2
129,23.8,0.91,0,3 - BSc/MSc,1,3971,70,34,1,2,0.854083958,2
130,93.25,0.82,1,4 - PhD,1,3272,63,37,0,2,0.109748251,2
131,317.06,0.49,1,2 - High School,4,1615,39,27,0,4,0.9567165687,4
132,518.1,0.12,1,2 - High School,2,2328,48,19,0,4,0.8081052995,4
133,-67.23,1.06,1,3 - BSc/MSc,4,1423,34,22,0,3,1.2427575417,3
134,100.79,0.82,0,3 - BSc/MSc,2,3577,73,38,0,2,0.3801231017,2
135,543.21,0.14,1,4 - PhD,2,1810,39,40,1,5,0.7175096753,5
137,241.72,0.65,0,3 - BSc/MSc,4,2516,44,28,0,4,1.156470594,4
138,456.76,0.31,0,2 - High School,4,3799,63,22,0,1,1.4322007593,1
139,149.59,0.69,1,2 - High School,2,2538,40,37,0,2,0.7852584722,2
140,649.67,0.25,1,2 - High School,1,3221,59,38,0,5,1.3742226122,5
141,511.42,0.41,1,2 - High School,1,2765,57,29,0,4,0.9617138009,4
142,-12.11,0.98,0,4 - PhD,1,3097,65,19,0,1,0.9854683947,1
143,210.71,0.66,1,4 - PhD,2,1266,30,32,0,3,0.8725266492,3
144,-42.45,1.02,1,3 - BSc/MSc,4,2501.5,26,20,0,1,1.2726001039,1
145,-44.78,1.03,1,2 - High School,4,1807,36,20,0,3,1.5264130331,3
146,-96.11,1.12,1,1 - Basic,1,2554,30,33,1,3,1.1970481109,3
147,72.8,0.85,1,3 - BSc/MSc,4,2342,33,24,0,1,1.0824601655,1
148,374.41,0.43,1,2 - High School,3,2951,62,37,0,5,1.0075074095,5
149,521.99,0.09,1,3 - BSc/MSc,3,2649,50,34,0,5,0.6681479528,5
150,255.71,0.63,1,1 - Basic,4,984,22,27,0,3,1.1787673931,3
151,463.54,0.47,0,2 - High School,4,3686,68,23,0,1,1.4004571933,1
152,433.97,0.48,1,2 - High School,3,1146,32,39,0,5,1.0739884034,5
153,10.34,0.97,0,2 - High School,4,1753,27,35,0,3,0.8074316747,3
154,-40.55,1.03,1,3 - BSc/MSc,3,1684,35,26,1,3,0.6350912066,3
155,477.21,0.12,0,3 - BSc/MSc,2,2333,49,19,1,4,0.7953570162,4
156,589.33,0.43,0,3 - BSc/MSc,3,1354,24,30,1,5,1.222785821,5
157,130.04,0.78,0,2 - High School,4,3825,67,32,0,2,0.8677346681,2
158,343.07,0.44,1,3 - BSc/MSc,3,1181,34,28,0,4,1.2825993238,4
159,413.31,0.22,1,3 - BSc/MSc,2,3044,58,40,1,5,1.2028097632,5
160,-52,1.05,1,3 - BSc/MSc,2,2234,42,20,2,1,1.495002522,1
161,509.11,0.06,1,3 - BSc/MSc,4,3082,44,33,2,5,1.120226406,5
162,471.21,0.25,0,3 - BSc/MSc,1,2285,39,41,0,5,0.8078136812,5
163,423.64,0.3,1,3 - BSc/MSc,1,1652,40,32,0,5,0.7646915688,5
164,103.02,0.81,1,2 - High School,4,2412,43,25,1,1,1.0051333119,1
165,269.61,0.51,1,3 - BSc/MSc,2,1402,31,19,0,4,1.3768812115,4
166,446.08,0.26,0,3 - BSc/MSc,4,2155,42,35,0,5,0.2175506954,5
167,493.43,0.52,1,1 - Basic,4,3617,65,21,0,4,1.5483526943,4
168,188.93,0.67,0,3 - BSc/MSc,2,3994,75,20,0,1,0.9293166686,1
169,205.16,0.72,1,2 - High School,4,927,19,39,0,5,1.6678558393,5
170,211.84,0.58,0,3 - BSc/MSc,3,3196,63,28,1,1,0.7103563169,1
171,455.87,0.4,0,1 - Basic,4,3916,75,32,0,2,1.641819198,2
173,437.31,0.29,1,2 - High School,4,2609,56,29,0,4,0.8778882291,4
174,5.34,0.96,1,2 - High School,2,2902,50,23,0,1,0.6885697821,1
175,38.01,0.9,1,4 - PhD,1,1664,37,26,0,3,0.5875642007,3
176,360.63,0.32,1,2 - High School,4,2854,50,39,1,5,1.0453855071,5
177,-57.9,1.05,0,3 - BSc/MSc,4,3198,48,31,0,2,1.0547746064,2
178,453.2,0.28,1,2 - High School,3,2103,53,29,0,4,0.7476791004,4
179,74.35,0.86,1,3 - BSc/MSc,3,1979,40,28,0,3,0.5344294626,3
180,284.07,0.6,0,2 - High School,3,1739,34,32,0,5,1.0374555849,5
181,61.13,0.91,0,3 - BSc/MSc,3,3234,72,36,0,2,0.2074801535,2
182,-25.66,1,0,2 - High School,1,4091,75,34,1,2,1.0399843493,2
